smiles,index
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,83
C#CC#CC=C=CCC(=O)C(O)/C=C/C1CCC(=O)O1,84
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,85
Cc1c(O)cc(O)c2c1C(=O)OC[C@H](NC(=O)[C@@H]1[C@H](O)CCN1C(=O)[C@@H](N)CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)O)CSC2,86
CC(C)=CCC/C(C)=C/CC/C(C)=C/CO,87
CN(C)[C@@H]1C(=O)C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,88
CC(C)CC1NC(=O)C(NC(=O)c2ncccc2O)C(C)OC(=O)C(c2ccccc2)N(C)C(=O)C(C)NC(=O)C(C(C)C(C)C)N(C)C(=O)CN(C)C(=O)C2CC(O)CN2C1=O,89
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,90
CC[C@H](C)[C@H](N=C(O)[C@H](CCCCN)N=C(O)CN=C(O)[C@H](CC(C)C)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@H](CCC(=N)O)N=C(O)[C@H](Cc1ccccc1)N=C(O)[C@@H](N)C(C)C)C(O)=N[C@H](C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@H](C(O)=NCC(O)=N[C@@H](CC(=N)O)C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@H](C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=NCC(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@@H](CO)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@H](C(O)=N[C@@H](Cc1ccccc1)C(=N)O)C(C)C)C(C)C)C(C)C)[C@@H](C)CC,91
O=C(Nc1cc(C(F)(F)F)cc2c1SSSSS2)C(F)(F)F,92
CCCCCCCCCCCC(=O)Nc1ccc(C(=O)NC(CC(=O)O)C(=O)NC2C(=O)N3CCCCC3C(=O)NC(C(C)C(=O)O)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(C(C)NC(=O)CCN)C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)NC2C)cc1,93
CN(C)c1ccc2c[n+](C)c3c4cc5c(cc4ccc3c2c1)OCO5,94
COc1ccc(CCC(=O)c2ccc(O)cc2)c(OC)c1,95
CCC(C)[C@@H]1NC(=O)C([C@H](C)CC)NC(=O)C(CCCCCN)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC(=O)CNC(=O)CC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)NCC(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)O)C(C)C)[C@H](C)CC)NC1=O,96
CC(C)C(N)C(=O)NC(C(=O)O)C1CC(N=C(N)N)C2CN21,97
Cc1ccc(Nc2cc(=O)n(CCCCO)c(=O)[nH]2)cc1I,98
CC(C)CC(=O)O[C@@H]1C(C=O)=C[C@H](O)[C@H](O)[C@H]1O,99
CCCCCC/C=C/Cc1c(C)c(=O)c2ccccc2n1O,100
O=C(CSc1nnc(CCc2nnc(SCC(=O)Nc3ccccc3)s2)s1)Nc1ccccc1,101
C/C(=C\C=C\C=C\C=C\C=C\C(C)C(O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)/C(C)=C/C(C)CCC/C=C/C(C)C/C=C/CCCN(C)C(=N)N)C(=O)NC1C(=O)CCC1=O,102
CO/C(C)=C1\NC(=O)C(C(C)O)NC(=O)c2csc(n2)-c2cc(O)c(-c3nc(C(N)=O)cs3)nc2-c2csc(n2)C2CSC(=O)c3[nH]c4cccc5c4c3COC(C(O[C@H]3C[C@](C)(O)[C@H](N(C)C)[C@H](C)O3)C(=O)OC5)C(NC(=O)c3csc1n3)c1nc(cs1)C(=O)N2,103
CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4c[nH]c(C(=O)Nc5c(O)c6ccc(O[C@@H]7OC(C)(C)[C@H](OC)[C@@H](OC(=O)c8ccc(C)[nH]8)[C@H]7O)c(C)c6oc5=O)c4C)c(=O)oc3c2C)OC1(C)C,104
Nc1nc(N)c2c(ccc3c2ccn3Cc2ccc(-c3ccccc3)cc2)n1,105
CCCN(CCC)C(=O)C[N+](C)(C)CCCCOc1ccc(/C=C/C(=O)c2c(OC)cc3c(c2O)C=CC(C)(C)O3)cc1,106
C[C@@H]1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,107
COC(=O)c1cc2cc3c(c(O)c2c(=O)o1)OC1(CC3)CC2=C(O1)c1c(OC)cc(OC)c(O)c1C(=O)C2=O,108
Cn1cc(NC(=O)c2cc(NC(=O)CN=C(N)N)cn2C)cc1C(=O)NCCC(=N)N,109
O=C1CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN1,110
C[N+](C)(CCCN)CCCOc1cc(/C=C/c2ccc(/C=C/c3cc(OCCC[N+](C)(C)CCCN)cc(OCCC[N+](C)(C)CCCN)c3)cc2)cc(OCCC[N+](C)(C)CCCN)c1,111
CC(C)C[C@@H]1NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@](C)(NC(=O)[C@@H](N)CC(C)C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC1=O,112
CSc1sc(C(=O)N/N=C/c2ccccc2Cl)c2c1C(O)CCC2,113
O=C(CN(CCC1CCCC1)C(=O)N1CCC[C@@H]1C(=O)Nc1nccs1)NO,114
Nc1nc(/C(=N/O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(/C=C4\CCN([C@@H]5CCNC5)C4=O)CS[C@H]23)ns1,115
COC1=CC(=O)c2cc3c(cc2C1=O)OC1(Oc2c(cc4cc(C)oc(=O)c4c2O)C(OC)C1O)C3O,116
C/C=C(\N=C(O)[C@H](C)N(C)C)C(=O)N1CCC[C@H]1C(O)=N[C@@H](C)C(O)=N/C(=C\C)C(O)=N[C@@H](Cc1ccccc1)C(O)=N/C(=C\C)C(O)=N[C@H](C(O)=N[C@@H](C)C(O)=N[C@@H](CCC(=N)O)C(O)=N[C@@H](Cc1ccccc1)C(O)=N[C@H](C(O)=N[C@H](C(O)=N[C@@H](CCC(=N)O)C(O)=NCC(O)=N[C@@H](CO)C(O)=N/C(=C/C)C(O)=N[C@H](C(O)=N[C@H]1CS/C=C\N=C(O)[C@H](C(C)C)N=C(O)[C@H](CC(C)C)N=C1O)[C@@H](C)CC)[C@@H](C)CC)C(C)C)C(C)C,117
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,118
